# Exceptions for scripts/check_doc_commands.sh: FILE <TAB> REFERENCE <TAB> REASON.
#
# Only two shapes belong here, and both must be visible to a reader of the
# document itself -- an allowlist entry is not a way to leave a command that
# looks current but is not.
#
#   1. a HISTORICAL command, where the prose says the thing is gone
#   2. a reference the READER is told to create locally
#
# Anything else is drift and should be fixed in the document.
#
# For shape 1 the REFERENCE column may be the bare runner (`just`), which
# excuses that runner for the whole file. Use it only where the file itself
# says up front that none of its commands run -- the two dead bench READMEs --
# never to quiet a document that still reads as current.
docs/wasm-opt-dogfood.md	VIBE_MINIFY_PASS	a local-only hook the reader is instructed to add, marked DO NOT COMMIT in the same block
AGENTS.md	selfhost-trial-gate	the same sentence says the alias was removed in #850 Phase B
docs/operation-gate.md	selfhost-trial-gate	the same sentence says the alias was removed in #850 Phase B
CONTRIBUTION.md	sleep-demo	the line exists to say there is no such task
clients/wasm/README.md	build-wasm-vibe	the line exists to say the README used to show this and it names no task
docs/adr.md	bench-streaming	the same clause says the driver script no longer exists
docs/adr.md	probe-cm-stream	the same clause says probe and task were removed with the MoonBit host (#594)
docs/bootstrap.md	test-dist-stage2-parity	past tense; the surrounding text says the dist builder went with the MoonBit host (#594)
docs/wasm_threads_requirements.md	just experimental_wasi_threads_probe	the same sentence says the probe was already removed from the repo
lib/@vibe/builtin/README.md	just run	quoted in the paragraph that says this section used to show it and there is no Justfile
bench/bundle_size/README.md	just	the README opens by stating this benchmark does not run and that its commands name nothing that exists
bench/compiler_size/README.md	just	the README opens by stating this benchmark does not run and that its commands name nothing that exists
