# The `vibe.*` host import surface the shipped compiler EMITS (#1346 criterion 1).
# Read off the emitters, not maintained by hand: regenerate with
#   bash scripts/check_sync_host_imports.sh --print
# and check the diff. `scripts/check_sync_host_imports.sh` fails when the
# emitters and this file disagree, so a new, renamed or removed host import
# is a deliberate edit here rather than a silent ABI change.
#
# Columns: FIELD, then the gc backend's arity where it emits one ('-' when
# only the linear backend does). The gc set is a strict SUBSET: a gc-only
# import would break every host that knows the linear surface.
#
args-get	3
args-len	5
dbg_break	-
dbg_line	-
env-get	3
fs_append	-
fs_chdir	-
fs_copy	-
fs_exists	3
fs_getcwd	-
fs_is_dir	3
fs_is_file	3
fs_mkdir	-
fs_mkdir_p	-
fs_publish_immutable_text	4
fs_read_bytes	3
fs_read_dir	3
fs_read_file	3
fs_remove	1
fs_remove_file	1
fs_remove_tree	1
fs_rename	6
fs_stat_token	3
fs_write_bytes	6
fs_write_file	6
host_future_get	-
host_future_get$	-
host_future_wait	-
host_stream_close	-
host_stream_get$	-
host_stream_read	-
http_close	-
http_request	-
http_response_body	-
http_response_header	-
http_response_status	-
process_exit	1
profile-heap-bytes	-
profile-now-us	5
resolve_path	-
sh	-
sh_capture	-
sh_capture_close	-
sh_capture_exit_code	-
sh_capture_stderr	-
sh_capture_stdout	-
sh_lines	-
sleep	-
stderr_write_char	-
stderr_write_stream	1
stdin_provider_acquire	-
stdin_provider_close	-
stdin_provider_read	-
stdin_read_char	5
stdin_read_stream	3
stdout_write_char	-
stdout_write_stream	1
tcp_close	-
tcp_connect	-
tcp_read	-
tcp_write	-
