# case	phase-1 verdict	diagnostic substring
success_type	ok
success_struct	ok
success_enum	ok
success_effect	ok
success_trait	ok
mismatch_type	reject	import kind mismatch: `Record` is a struct, not a type alias
mismatch_struct	reject	import kind mismatch: `Choice` is an enum, not a struct
mismatch_enum	reject	import kind mismatch: `Audit` is an effect, not an enum
mismatch_effect	reject	import kind mismatch: `Marker` is a trait, not an effect
mismatch_trait	reject	import kind mismatch: `Alias` is a type alias, not a trait
bare_compat	ok
alias	ok
reexport	ok
qualified_member	ok
